읍면동별 세대원수별 세대수,,,,,,,,,,,,,,
2016년 12월,,,,,,,,,,,,,,
행정기관코드,시도,시군구,읍면동,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대이상
1147057000,서울특별시,양천구,신월2동,8694,2243,1904,1947,1861,540,138,40,12,3,6
1147058000,서울특별시,양천구,신월3동,8491,3912,1734,1356,1089,303,71,18,5,1,2
1147059000,서울특별시,양천구,신월4동,6921,1347,1459,1708,1757,475,126,36,10,2,1
1147060000,서울특별시,양천구,신월5동,6389,1962,1327,1368,1286,340,83,17,4,2,0
1147061000,서울특별시,양천구,신월6동,3074,948,611,625,669,167,40,9,5,0,0
1147061100,서울특별시,양천구,신월7동,9308,2576,2361,2097,1786,351,110,18,8,1,0
1147062000,서울특별시,양천구,신정1동,7206,1375,1121,1639,2414,524,96,22,11,2,2
1147063000,서울특별시,양천구,신정2동,7224,1500,1188,1498,2368,549,96,12,8,4,1
1147064000,서울특별시,양천구,신정3동,19010,4598,3932,4144,4715,1286,262,54,13,4,2
1147065000,서울특별시,양천구,신정4동,15414,5847,3397,2874,2444,652,146,35,13,2,4
1147067000,서울특별시,양천구,신정6동,8145,981,1290,2112,3022,587,121,18,10,2,2
1147068000,서울특별시,양천구,신정7동,11392,2726,2343,2538,2987,634,116,32,10,3,3
1150000000,서울특별시,강서구,,245045,83462,52108,48885,46360,11092,2336,560,162,48,32
1150051000,서울특별시,강서구,염창동,13978,2689,2378,3497,4326,869,167,40,8,4,0
1150052000,서울특별시,강서구,등촌제1동,10940,5337,1895,1683,1616,324,59,20,2,4,0
1150053000,서울특별시,강서구,등촌제2동,8212,2087,1786,1853,1896,447,98,31,11,2,1
1150053500,서울특별시,강서구,등촌제3동,14701,4814,3759,2934,2571,490,96,25,7,2,3
1150054000,서울특별시,강서구,화곡제1동,24515,10359,5367,4434,3283,811,191,44,19,6,1
1150055000,서울특별시,강서구,화곡제2동,8155,2530,1894,1739,1473,425,67,17,7,2,1
1150056000,서울특별시,강서구,화곡제3동,9025,2743,1935,1938,1776,465,127,29,8,1,3
1150057000,서울특별시,강서구,화곡제4동,9843,3535,2258,1970,1588,372,92,23,1,1,3
1150059000,서울특별시,강서구,화곡본동,15552,5712,3437,3070,2541,605,128,41,13,2,3
1150059100,서울특별시,강서구,화곡제6동,10747,3948,2192,2063,1949,458,104,17,9,2,5
1150059300,서울특별시,강서구,화곡제8동,11135,3596,2735,2324,1879,454,114,27,6,0,0
1150060300,서울특별시,강서구,가양제1동,12362,5684,1906,2045,2116,488,97,19,5,1,1
1150060400,서울특별시,강서구,가양제2동,7965,3471,2103,1290,819,211,52,10,7,0,2
1150060500,서울특별시,강서구,가양제3동,7758,2724,2221,1586,964,211,38,11,3,0,0
1150061100,서울특별시,강서구,발산제1동,13446,2432,2651,3090,3976,1048,198,37,7,6,1
1150061500,서울특별시,강서구,우장산동,16333,3552,2972,3768,4753,1002,207,51,20,6,2
1150062000,서울특별시,강서구,공항동,10898,4850,2112,1856,1549,426,82,21,1,1,0
1150063000,서울특별시,강서구,방화제1동,16945,4380,3432,3672,4015,1136,241,51,15,3,0
1150064000,서울특별시,강서구,방화제2동,11338,4877,2425,1935,1539,423,101,26,5,2,5
1150064100,서울특별시,강서구,방화제3동,11197,4142,2650,2138,1731,427,77,20,8,3,1
1153000000,서울특별시,구로구,,172220,59834,36398,33310,32086,8092,1865,455,120,35,25
1153051000,서울특별시,구로구,신도림동,13273,2671,2653,3339,3561,792,187,46,14,6,4
1153052000,서울특별시,구로구,구로제1동,7802,1542,1642,1839,2227,443,76,25,5,3,0
1153053000,서울특별시,구로구,구로제2동,13258,6046,2873,2066,1668,444,111,36,9,4,1
1153054000,서울특별시,구로구,구로제3동,13775,7790,2146,1816,1515,380,83,30,13,1,1
1153055000,서울특별시,구로구,구로제4동,11223,5023,2570,1823,1401,304,72,22,7,1,0
